,country_name,scale,Farm Number,type,edge density for plots m/ha,total area (ha) user input,calculated area (ha) using polygon,total perimeter (m) user input,calculated perimeter (m) using polygon
0,Brazil,Other,Farm 1,field,297.89,3.7,3.34,,1102.89
1,Brazil,Other,Farm 1,field,761.24,0.33,0.29,,248.77
2,Brazil,Other,Farm 1,field,688.02,0.44,0.4,,302.52
3,Brazil,Other,Farm 1,field,978.11,0.22,0.2,,214.7
4,Brazil,Other,Farm 2,field,241.39,3.04,3.69,,732.73
5,Brazil,Other,Farm 2,field,328.4,2.73,3.31,,895.05
6,Brazil,Other,Farm 3,field,341.86,1.43,1.24,,490.46
7,Brazil,Other,Farm 4,field,3259.36,0.02,0.01,,49.22
8,Brazil,Other,Farm 4,field,3493.76,0.01,0.01,,45.77
9,Brazil,Other,Farm 5,field,530.37,0.58,0.51,,308.83
10,Brazil,Other,Farm 6,field,1225.57,0.11,0.16,,134.08
11,Brazil,Other,Farm 6,field,605.46,0.48,0.72,,288.2
12,Brazil,Other,Farm 7,field,303.05,2.43,1.96,,735.54
13,Argentina,Other,Farm 8,field,3304.57,0.02,0.01,,50.23
14,Brazil,Other,Farm 9,field,220.07,6.64,5.26,,1462.17
15,Brazil,Other,Farm 10,field,88.42,20.64,16.93,,1825.01
16,Brazil,Other,Farm 11,field,418.24,0.92,0.81,,385.37
17,Brazil,Other,Farm 11,field,650.95,0.48,0.42,,310.63
18,Brazil,Other,Farm 11,field,595.32,0.48,0.42,,286.41
19,Brazil,Other,Farm 12,field,210.5,4.53,3.97,,953.3
20,Argentina,Other,Farm 13,field,81.89,24.32,16.54,,1991.14
21,Argentina,Other,Farm 14,field,710.22,0.32,0.14,,226.13
22,Brazil,Other,Farm 15,field,1407.01,0.13,0.11,,184.04
23,Brazil,Other,Farm 15,field,1255.04,0.12,0.1,,149.35
24,Brazil,Other,Farm 15,field,183.02,4.95,4.21,,905.97
25,Brazil,Other,Farm 15,field,1722.66,0.07,0.06,,121.1
26,Brazil,Other,Farm 15,field,1747.4,0.05,0.04,,82.65
27,Brazil,Other,Farm 11,field,225.96,3.09,2.71,,699.06
28,Argentina,Other,Farm 16,field,672.64,0.45,0.28,,302.69
29,Brazil,Other,Farm 17,field,2646.68,0.03,0.03,,87.61
30,Brazil,Other,Farm 17,field,2965.07,0.02,0.01,,49.22
31,Brazil,Other,Farm 18,field,616.12,0.54,0.42,331.0,330.85
32,Argentina,Other,Farm 19,farm_site_boundary,2419.26,0.04,0.02,93.0,92.66
33,Argentina,Other,Farm 19,garden,5041.34,0.01,0.0,32.0,31.76
34,Argentina,Other,Farm 19,greenhouse,5750.85,0.01,0.0,33.0,32.78
35,Argentina,Other,Farm 19,residence,0.0,0.0,0.0,26.0,25.61
36,Argentina,Other,Farm 19,surface_water,17306.16,0.0,0.0,10.0,10.38
37,Brazil,SPG 2023,Farm 20,residence,0.0,0.01,0.01,46.0,46.03
38,Brazil,SPG 2023,Farm 20,residence,0.0,0.01,0.01,51.0,50.78
39,Brazil,SPG 2023,Farm 20,surface_water,722.33,0.36,0.28,260.0,259.61
40,Brazil,SPG 2023,Farm 20,field,279.68,2.13,1.68,596.0,595.13
41,Brazil,SPG 2023,Farm 20,field,1328.67,0.14,0.11,183.0,183.09
42,Brazil,SPG 2023,Farm 20,greenhouse,1807.2,0.05,0.04,93.0,92.53
43,Brazil,SPG 2023,Farm 20,greenhouse,790.03,0.26,0.21,210.0,209.12
44,Brazil,SPG 2023,Farm 20,barn,0.0,0.01,0.01,38.0,38.16
45,Brazil,SPG 2023,Farm 20,barn,0.0,0.0,0.0,15.0,15.47
